Time,X1,X2
0,17.9175,2.18573
1e-008,18.7777,2.18573
2e-008,19.6379,2.19355
3e-008,20.4199,2.18573
4e-008,21.1238,2.20137
5e-008,21.8276,2.20137
6e-008,22.5314,2.20137
7e-008,23.157,2.20137
8e-008,23.939,2.20137
9e-008,24.5646,2.20919
1e-007,25.0338,2.21701
1.1e-007,25.6594,2.21701
1.2e-007,26.2068,2.22483
1.3e-007,26.7543,2.23265
1.4e-007,27.1453,2.22483
1.5e-007,27.5363,2.23265
1.6e-007,27.9273,2.23265
1.7e-007,28.1619,2.23265
1.8e-007,28.3183,2.23265
1.9e-007,28.3965,2.24829
2e-007,28.3965,2.25611
2.1e-007,28.1619,2.25611
2.2e-007,27.9273,2.25611
2.3e-007,27.5363,2.25611
2.4e-007,27.1453,2.26393
2.5e-007,26.7543,2.26393
2.6e-007,26.4414,2.26393
2.7e-007,26.0504,2.26393
2.8e-007,25.6594,2.27175
2.9e-007,25.5812,2.26393
3e-007,25.3466,2.27957
3.1e-007,25.3466,2.27957
3.2e-007,25.1902,2.28739
3.3e-007,25.0338,2.29521
3.4e-007,25.0338,2.30303
3.5e-007,24.9556,2.30303
3.6e-007,24.8774,2.30303
3.7e-007,24.6428,2.30303
3.8e-007,24.4864,2.31085
3.9e-007,24.1736,2.31085
4e-007,24.0172,2.31085
4.1e-007,23.6262,2.31867
4.2e-007,23.4698,2.32649
4.3e-007,23.157,2.32649
4.4e-007,22.8442,2.31867
4.5e-007,22.4532,2.32649
4.6e-007,22.0622,2.32649
4.7e-007,21.7494,2.33431
4.8e-007,21.3584,2.33431
4.9e-007,20.8891,2.34213
5e-007,20.4199,2.34995
5.1e-007,19.9507,2.34995
5.2e-007,19.5597,2.35777
5.3e-007,18.9341,2.34995
5.4e-007,18.4649,2.34995
5.5e-007,17.9175,2.34995
5.6e-007,17.4483,2.35777
5.7e-007,16.8227,2.36559
5.8e-007,16.2753,2.35777
5.9e-007,15.6497,2.36559
6e-007,15.1022,2.36559
6.1e-007,14.3984,2.37341
6.2e-007,13.9292,2.36559
6.3e-007,13.3036,2.36559
6.4e-007,12.678,2.37341
6.5e-007,12.0524,2.38123
6.6e-007,11.4268,2.38905
6.7e-007,10.723,2.38905
6.8e-007,10.1756,2.38905
6.9e-007,9.47175,2.39687
7e-007,8.92434,2.39687
7.1e-007,8.14233,2.38905
7.2e-007,7.51672,2.40469
7.3e-007,6.8911,2.39687
7.4e-007,6.3437,2.40469
7.5e-007,5.63988,2.40469
7.6e-007,4.93607,2.39687
7.7e-007,4.38866,2.40469
7.8e-007,3.68485,2.40469
7.9e-007,3.13744,2.41251
8e-007,2.51183,2.41251
8.1e-007,1.88622,2.42033
8.2e-007,1.33881,2.42033
8.3e-007,0.713196,2.41251
8.4e-007,0.165787,2.42033
8.5e-007,-0.381623,2.42033
8.6e-007,-0.850831,2.42033
8.7e-007,-1.39824,2.42815
8.8e-007,-1.86745,2.42815
8.9e-007,-2.25846,2.43597
9e-007,-2.80587,2.42815
9.1e-007,-3.19687,2.42033
9.2e-007,-3.66608,2.43597
9.3e-007,-4.13529,2.43597
9.4e-007,-4.5263,2.42815
9.5e-007,-4.8391,2.43597
9.6e-007,-5.23011,2.43597
9.7e-007,-5.62111,2.43597
